Doc Id,Contents of file after Preprocessing
cranfield1223,"['inviscid-incompressible-flow', 'theory', 'static', 'two-dimensional', 'solid', 'jets', 'proximity', 'ground', 'inviscid-incompressible-flow', 'theory', 'static', 'two-dimensional', 'solid', 'jets', 'impinging', 'orthogonally', 'ground', 'presented', 'using', 'conformal', 'mapping', 'methods', 'shown', 'thrust', 'solid', 'jet', 'constant', 'power', 'initially', 'decreases', 'ground', 'approached', 'magnitude', 'thrust', 'ground', 'effect', 'regained', 'low', 'height-to-jet', 'width', 'ratio', 'approximately', '0.55', 'maximuin', 'decrease', '6', 'percent', 'ground', 'effect', 'solid', 'jets', 'thus', 'largely', 'unfavorable']"
cranfield1011,"['free-flight', 'measurements', 'static', 'dynamic', 'charts', 'prepared', 'relating', 'thermodynamic', 'properties', 'air', 'chemical', 'equilibrium', 'temperatures', '15,000', 'k', 'pressures', '10', '10', 'atmospheres', 'also', 'included', 'charts', 'showing', 'composition', 'air', 'isentropic', 'exponent', 'speed', 'sound', 'charts', 'based', 'thermodynamic', 'data', 'calculated', 'national', 'bureau', 'standards']"
cranfield0795,"['operation', 'npl', '18in', 'x', '14in', 'wind', 'tunnel', 'transonic', 'speed', 'range', 'brief', 'description', 'slotted', 'liners', 'used', 'given', 'together', 'power', 'requirements', 'flow', 'surveys', 'observations', 'made', 'wall', 'interference', 'half-model', 'swept', 'wing', 'tested', 'wind', 'tunnel']"
cranfield0553,"['ablation', 'glassy', 'materials', 'around', 'blunt', 'bodies', 'revolution', 'steady-state', 'equations', 'motion', 'thin', 'layer', 'incompressible', 'glassy', 'material', 'surface', 'ablating', 'radiating', 'blunt', 'body', 'reduced', 'first-order', 'ordinary', 'differential', 'equation', 'integrated', 'numerically', 'solution', 'coupled', 'solution', 'air', 'boundary', 'layer', 'laminar', 'turbulent', 'heat', 'transfer', 'without', 'mass', 'vaporization', 'ablating', 'material', 'distribution', 'effective', 'energy', 'ablation', 'around', 'body', 'thus', 'obtained', 'cone', 'cylinder', 'hemispherical', 'cap', 're-enters', 'atmosphere', 'hypersonic', 'flight', 'speeds', 'quartz', 'ablating', 'material', 'found', 'ablation', 'process', 'turbulent', 'heating', 'efficient', 'laminar', 'case', 'increased', 'vaporization', 'solution', 'equations', 'motion', 'stagnation', 'point', 'verified', 'wind', 'tunnel', 'experiments', 'present', 'state', 'development', 'wind', 'tunnel', 'permit', 'use', 'experimental', 'investigations', 'ablation', 'around', 'blunt', 'bodies', 'turbulent', 'heating']"
cranfield0761,"['buckling', 'sandwich', 'normal', 'pressure', 'theoretical', 'study', 'made', 'buckling', 'sandwich', 'sphere', 'comprised', 'core', 'layer', 'low-modulus', 'material', 'two', 'thin', 'facing', 'layers', 'higher', 'modulus', 'material', 'solution', 'buckling', 'resistance', 'sphere', 'normal', 'external', 'pressure', 'obtained', 'linearized', 'theory', 'reducible', 'classical', 'solution', 'monocoque', 'spherical', 'shells', 'critical', 'buckling', 'pressures', 'calculated', 'various', 'radius-thickness', 'ratios', 'sphere', 'materials']"
cranfield0305,"['hypersonic', 'strong', 'viscous', 'interaction', 'flat', 'plate', 'surface', 'mass', 'transfer', 'present', 'report', 'gives', 'account', 'development', 'approximate', 'theory', 'problem', 'hypersonic', 'strong', 'viscous', 'interaction', 'flat', 'plate', 'mass-transfer', 'plate', 'surface', 'disturbance', 'flow', 'region', 'divided', 'inviscid', 'viscous', 'flow', 'regions', 'hypersonic', 'small', 'perturbation', 'theory', 'applied', 'solution', 'inviscid', 'flow', 'region', 'method', 'similar', 'solutions', 'compressible', 'laminar', 'boundary', 'layer', 'equations', 'applied', 'treatment', 'viscous', 'flow', 'region', 'law', 'surface', 'mass-transfer', 'similar', 'solutions', 'derived', 'pressure', 'normal', 'velocity', 'matched', 'inviscid', 'viscous', 'flow', 'solutions', 'formulas', 'induced', 'surface', 'pressure', 'boundary', 'layer', 'thickness', 'skin', 'friction', 'coefficient', 'heat', 'transfer', 'coefficient', 'obtained', 'numerical', 'results', 'significance', 'discussed', 'future', 'improvements', 'indicated']"
cranfield0137,"['generation', 'sound', 'aerodynamic', 'means', 'summary', 'given', 'important', 'experimental', 'results', 'relating', 'noise', 'radiated', 'cold', 'subsonic', 'turbulent', 'jet', 'related', 'predictions', 'lighthill', ""'s"", 'general', 'theory', 'aerodynamic', 'noise']"
cranfield0598,"['new', 'test', 'techniques', 'hypervelocity', 'wind', 'tunnel', 'measurement', 'rocket', 'exhaust', 'effects', 'vehicle', 'stability', 'measurement', 'aerodynamic', 'damping', 'made', 'arc-discharge', 'type', 'hypervelocity', 'wind', 'tunnel', 'sample', 'data', 'given', 'indicate', 'quality', 'data', 'obtainable', 'tunnel', 'samples', 'self-luminous', 'shadowgraph', 'photographs', 'also', 'presented']"
cranfield0934,"['stability', 'cylindrical', 'conical', 'shells', 'circular', 'cross', 'section', 'simultaneous', 'action', 'axial', 'compression', 'external', 'normal', 'pressure', 'consider', 'report', 'determination', 'upper', 'limit', 'critical', 'loads', 'case', 'simultaneous', 'action', 'compressive', 'force', 'uniformly', 'distributed', 'plane', 'cross', 'sections', 'isotropic', 'external', 'normal', 'pressure', 'cylindrical', 'conical', 'shells', 'circular', 'cross', 'section', 'starting', 'point', 'use', 'differential', 'equations', 'neutral', 'equilibrium', 'conical', 'shells', 'ref', '1', 'used', 'solution', 'problem', 'stability', 'conical', 'shells', 'torsion', 'axial', 'compression', 'ref', '2', 'upon', 'solution', 'problem', 'possible', 'satisfy', 'boundary', 'conditions', 'contrast', 'report', 'ref', '3', 'attention', 'paid', 'fulfillment', 'boundary', 'conditions', 'report', 'ref', '4', 'part', 'boundary', 'conditions', 'satisfied', 'solution', 'problem', 'according', 'galerkin', ""'s"", 'method', 'approximate', 'formulas', 'used', 'determination', 'critical', 'external', 'normal', 'pressure', 'simultaneous', 'action', 'longitudinal', 'compression', 'let', 'us', 'note', 'formulas', 'suggested', 'reference', '5', 'well', 'founded', 'may', 'lead', 'number', 'cases', 'substantial', 'mistake', 'magnitude', 'critical', 'load']"
cranfield0108,"['properties', 'confluent', 'hypergeometric', 'function', 'confluent', 'hypergeometric', 'functions', 'proved', 'useful', 'many', 'branches', 'physics', 'used', 'problems', 'involving', 'diffusion', 'sedimentation', 'isotope', 'separation', 'protein', 'molecular', 'weight', 'determinations', 'ultracentrifuge', 'solution', 'equation', 'velocity', 'distribution', 'electrons', 'high', 'frequency', 'gas', 'discharges', 'may', 'frequently', 'expressed', 'terms', 'functions', 'high', 'frequency', 'breakdown', 'electric', 'field', 'may', 'predicted', 'theoretically', 'gases', 'use', 'solutions', 'together', 'kinetic', 'theory', 'report', 'presents', 'properties', 'confluent', 'hypergeometric', 'functions', 'together', 'six-figure', 'tables', 'functions']"
